    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1113TS278_4o      278     PEZYFoldings         0.968    0.969    2        A2       C2        2        0.04     186      0        90.3     89.00      91.60       0.908      0.836      0.91           2          334        0.03     1.33       0.89       4193.0     2554.7     1638.3     0.963     c3:12.30; c2:0.03
2   T1113TS248_2o      248     Manifold             0.968    0.968    2        A2       C2        2        0.25     177      0        93.1     93.40      92.80       0.920      0.857      0.93           2          334        0.03     1.06       0.90       3863.8     2325.7     1538.2     0.974     c3:12.16; c2:0.17
3   T1113TS278_1o      278     PEZYFoldings         0.967    0.967    2        A2       C2        2        0.05     186      0        90.6     88.60      92.80       0.921      0.785      0.90           2          334        0.05     1.64       1.24       4033.2     2439.1     1594.1     0.944     c3:12.44; c2:0.04
4   T1113TS239_2o      239s    Yang-Multimer        0.967    0.968    2        A2       C2        2        0.06     182      0        92.2     89.30      95.20       0.913      0.781      0.91           2          334        0.05     1.73       1.29       4063.9     2188.2     1875.7     0.938     c3:12.49; c2:0.04
5   T1113TS288_1o      288s    DFolding-server      0.967    0.968    2        A2       C2        2        0.04     185      0        91.3     88.70      94.00       0.923      0.786      0.89           2          334        0.05     1.66       1.25       3947.7     2340.1     1607.7     0.942     c3:12.47; c2:0.03
6   T1113TS278_3o      278     PEZYFoldings         0.967    0.968    2        A2       C2        2        0.12     184      0        90.2     89.40      91.00       0.911      0.824      0.90           2          334        0.02     1.36       0.95       4188.4     2453.7     1734.7     0.960     c3:12.35; c2:0.08
7   T1113TS201_3o      201     UTMB                 0.966    0.967    2        A2       C2        2        0.04     178      0        89.5     87.00      92.20       0.918      0.773      0.90           2          334        0.05     1.71       1.30       3771.7     2085.7     1686.1     0.940     c3:12.44; c2:0.03
8   T1113TS035_1o      035s    Manifold-E           0.966    0.967    2        A2       C2        2        0.02     180      0        88.1     83.80      92.80       0.917      0.811      0.91           2          334        0.05     1.44       1.10       3921.1     2274.5     1646.6     0.955     c3:12.36; c2:0.02
9   T1113TS439_4o      439     Yang                 0.966    0.966    2        A2       C2        2        0.03     183      0        91.1     90.50      91.60       0.908      0.769      0.90           2          334        0.04     1.70       1.32       4113.8     2188.5     1925.3     0.940     c3:12.51; c2:0.02
10  T1113TS187_2o      187     TRFold               0.966    0.967    2        A2       C2        2        0.04     182      0        89.5     85.30      94.00       0.922      0.795      0.87           2          334        0.05     1.60       1.19       3828.5     2203.5     1625.0     0.947     c3:12.45; c2:0.03
11  T1113TS374_1o      374     Zheng                0.966    0.966    2        A2       C2        2        0.05     177      0        89.7     86.20      93.40       0.917      0.781      0.87           2          334        0.05     1.69       1.26       3928.4     2266.3     1662.1     0.941     c3:12.46; c2:0.03
