    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1132TS180_1o      180     McGuffin             0.954    0.972    6        A6       D3        6        0.05     321      0        87.5     92.30      83.44       0.928      0.911      0.86           6          582        0.02     0.45       0.30       2165.2     1793.2     1521.9     0.997     d3:0.04; c6:26.92; c3:0.04; c3:26.31; c2:0.04; c2:0.04; c2:0.02
2   T1132TS462_1o      462s    MultiFOLD            0.953    0.971    6        A6       D3        6        0.03     338      0        87.8     89.98      86.08       0.932      0.916      0.88           6          582        0.01     0.41       0.29       2203.4     2184.3     1169.0     0.997     d3:0.03; c6:27.05; c3:0.02; c3:26.36; c2:0.02; c2:0.02; c2:0.02
3   T1132TS462_3o      462s    MultiFOLD            0.951    0.969    6        A6       D3        6        0.04     347      0        86.9     89.38      85.03       0.929      0.913      0.83           6          582        0.01     0.41       0.28       2117.0     2030.6     1236.3     0.997     d3:0.03; c6:26.99; c3:0.03; c3:26.32; c2:0.03; c2:0.02; c2:0.03
4   T1132TS180_2o      180     McGuffin             0.951    0.969    6        A6       D3        6        0.05     327      0        86.3     88.25      84.76       0.924      0.907      0.85           6          582        0.02     0.50       0.30       2147.0     1836.9     1460.0     0.996     d3:0.04; c6:26.88; c3:0.04; c3:26.30; c2:0.02; c2:0.03; c2:0.04
5   T1132TS180_3o      180     McGuffin             0.949    0.967    6        A6       D3        6        0.07     324      0        86.5     90.69      82.91       0.923      0.897      0.87           6          582        0.03     0.61       0.30       2053.0     1707.0     1495.9     0.994     d3:0.06; c6:26.78; c3:0.06; c3:26.21; c2:0.04; c2:0.05; c2:0.05
6   T1132TS462_2o      462s    MultiFOLD            0.949    0.968    6        A6       D3        6        0.05     327      0        87.9     89.81      86.64       0.928      0.911      0.88           6          582        0.01     0.45       0.28       2185.2     2137.6     1197.5     0.996     d3:0.04; c6:26.99; c3:0.04; c3:26.36; c2:0.04; c2:0.03; c2:0.03
7   T1132TS180_4o      180     McGuffin             0.948    0.966    6        A6       D3        6        0.03     330      0        87.7     90.76      85.04       0.923      0.901      0.88           6          582        0.03     0.56       0.30       2238.3     1778.7     1609.6     0.995     d3:0.03; c6:26.85; c3:0.03; c3:26.28; c2:0.02; c2:0.02; c2:0.02
8   T1132TS158_4o      158s    MULTICOM_deep        0.947    0.965    6        A6       D3        6        0.05     322      0        86.2     87.33      85.57       0.922      0.912      0.84           6          582        0.02     0.62       0.35       2199.3     1809.4     1539.8     0.994     d3:0.04; c6:27.08; c3:0.04; c3:26.44; c2:0.03; c2:0.03; c2:0.04
9   T1132TS086_4o      086s    MULTICOM_qa          0.947    0.965    6        A6       D3        6        0.04     322      0        86.6     87.99      85.57       0.923      0.911      0.84           6          582        0.02     0.62       0.35       2215.9     1858.3     1507.5     0.994     d3:0.04; c6:27.10; c3:0.04; c3:26.45; c2:0.03; c2:0.02; c2:0.04
10  T1132TS248_3o      248     Manifold             0.946    0.964    6        A6       D3        6        0.03     333      0        87.7     91.41      84.50       0.922      0.903      0.86           6          582        0.03     0.72       0.34       2197.2     1692.7     1654.5     0.992     d3:0.03; c6:27.09; c3:0.03; c3:26.52; c2:0.02; c2:0.02; c2:0.02
11  T1132TS367_5o      367     MULTICOM             0.946    0.966    6        A6       D3        6        0.06     326      0        87.7     88.55      87.15       0.926      0.914      0.86           6          582        0.02     0.62       0.34       2342.9     2052.5     1440.3     0.994     d3:0.06; c6:27.13; c3:0.05; c3:26.47; c2:0.05; c2:0.03; c2:0.04
