model,lDDToligo_True,lDDToligo_EnQA-MSA
H1141TS278_2,0.869,0.8037109375
H1141TS374_2,0.876,0.85888671875
H1141TS374_1,0.874,0.8662109375
H1141TS288_1,0.86,0.8564453125
H1141TS035_1,0.864,0.8505859375
H1141TS248_1,0.864,0.8505859375
H1141TS477_1,0.856,0.833984375
H1141TS073_1,0.794,0.85009765625
H1141TS494_1,0.843,0.77587890625
H1141TS037_1,0.866,0.83251953125
H1141TS314_3,0.795,0.7021484375
H1141TS494_2,0.837,0.765625
H1141TS131_5,0.795,0.7373046875
H1141TS350_4,0.798,0.70166015625
H1141TS444_4,0.79,0.8388671875
H1141TS091_3,0.74,0.693359375
H1141TS493_2,0.78,0.8310546875
H1141TS205_5,0.75,0.70068359375
H1141TS215_4,0.775,0.7666015625
H1141TS314_2,0.734,0.70263671875
H1141TS350_2,0.807,0.70068359375
H1141TS150_5,0.812,0.76904296875
H1141TS312_1,0.813,0.70068359375
H1141TS091_2,0.752,0.78857421875
H1141TS320_5,0.817,0.7958984375
H1141TS390_5,0.817,0.7958984375
H1141TS150_3,0.817,0.765625
H1141TS493_3,0.786,0.82763671875
H1141TS298_3,0.816,0.8212890625
H1141TS461_2,0.808,0.75
H1141TS446_2,0.808,0.75
H1141TS225_1,0.811,0.857421875
H1141TS360_2,0.812,0.76416015625
H1141TS119_5,0.789,0.72509765625
H1141TS188_4,0.813,0.78271484375
H1141TS035_4,0.807,0.7119140625
H1141TS248_4,0.807,0.7119140625
H1141TS314_1,0.746,0.70166015625
H1141TS185_1,0.808,0.82421875
H1141TS433_1,0.79,0.7958984375
H1141TS439_3,0.783,0.75146484375
H1141TS441_1,0.79,0.7958984375
H1141TS180_4,0.808,0.818359375
H1141TS441_2,0.79,0.798828125
H1141TS360_5,0.815,0.76220703125
H1141TS433_2,0.79,0.798828125
H1141TS188_5,0.813,0.7568359375
H1141TS011_2,0.816,0.78271484375
H1141TS398_5,0.787,0.83056640625
H1141TS434_2,0.816,0.78271484375
H1141TS434_5,0.815,0.76611328125
H1141TS227_5,0.815,0.76611328125
H1141TS011_5,0.815,0.76611328125
H1141TS239_2,0.805,0.75
H1141TS390_4,0.814,0.7841796875
H1141TS165_5,0.707,0.57568359375
H1141TS320_4,0.814,0.78466796875
H1141TS133_3,0.814,0.787109375
H1141TS227_3,0.814,0.787109375
H1141TS314_5,0.798,0.7353515625
H1141TS035_5,0.808,0.7138671875
H1141TS248_5,0.808,0.7138671875
H1141TS298_4,0.814,0.80322265625
H1141TS320_2,0.814,0.80712890625
