    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1124TS229_1o      229s    Yang-Server          0.928    0.952    2        A2       C2        2        0.08     363      3        88.8     89.50      88.10       0.832      0.782      0.87           2          720        0.03     1.96       1.00       3744.7     -890.9     4635.6     0.951     c3:15.46; c2:0.06
2   T1124TS239_1o      239s    Yang-Multimer        0.928    0.952    2        A2       C2        2        0.08     363      3        88.8     89.50      88.10       0.832      0.782      0.87           2          720        0.03     1.96       1.00       3744.7     -890.9     4635.6     0.951     c3:15.46; c2:0.06
3   T1124TS086_3o      086s    MULTICOM_qa          0.926    0.945    2        A2       C2        2        0.05     349      1        87.7     89.80      85.70       0.872      0.759      0.86           2          720        0.03     1.62       1.15       4699.3     1623.7     3075.7     0.962     c3:16.45; c2:0.03
4   T1124TS477_1o      477     DMP                  0.926    0.926    2        A2       C2        2        0.14     325      2        85.8     85.90      85.70       0.853      0.730      0.88           2          720        0.02     1.78       1.64       -738.6     -245.3     -493.3     0.952     c3:15.04; c2:0.10
5   T1124TS003_5o      003     MULTICOM_human       0.926    0.945    2        A2       C2        2        0.05     349      1        87.7     89.80      85.70       0.872      0.759      0.86           2          720        0.03     1.62       1.15       4699.3     1623.7     3075.7     0.962     c3:16.45; c2:0.03
6   T1124TS158_3o      158s    MULTICOM_deep        0.926    0.945    2        A2       C2        2        0.05     349      1        87.7     89.80      85.70       0.872      0.759      0.86           2          720        0.03     1.62       1.15       4699.3     1623.7     3075.7     0.962     c3:16.45; c2:0.03
7   T1124TS158_4o      158s    MULTICOM_deep        0.925    0.945    2        A2       C2        2        0.04     349      0        87.7     89.50      86.00       0.872      0.761      0.86           2          720        0.03     1.62       1.15       4709.0     1648.3     3060.8     0.962     c3:16.44; c2:0.03
8   T1124TS086_4o      086s    MULTICOM_qa          0.925    0.945    2        A2       C2        2        0.04     349      0        87.7     89.50      86.00       0.872      0.761      0.86           2          720        0.03     1.62       1.15       4709.0     1648.3     3060.8     0.962     c3:16.44; c2:0.03
9   T1124TS462_1o      462s    MultiFOLD            0.918    0.952    2        A2       C2        2        0.04     352      0        88.0     84.60      91.80       0.874      0.808      0.85           2          720        0.02     1.60       1.01       4520.8     1778.2     2742.6     0.957     c3:15.99; c2:0.03
10  T1124TS462_5o      462s    MultiFOLD            0.918    0.952    2        A2       C2        2        0.04     353      2        87.6     84.90      90.50       0.874      0.801      0.86           2          720        0.02     1.63       1.02       4590.8     1755.9     2834.9     0.956     c3:15.98; c2:0.03
11  T1124TS180_5o      180     McGuffin             0.918    0.952    2        A2       C2        2        0.04     353      2        87.6     84.90      90.50       0.874      0.801      0.86           2          720        0.02     1.63       1.02       4590.8     1755.9     2834.9     0.956     c3:15.98; c2:0.03
12  T1124TS180_1o      180     McGuffin             0.918    0.952    2        A2       C2        2        0.04     352      0        88.0     84.60      91.80       0.874      0.808      0.85           2          720        0.02     1.60       1.01       4520.8     1778.2     2742.6     0.957     c3:15.99; c2:0.03
13  T1124TS462_2o      462s    MultiFOLD            0.918    0.952    2        A2       C2        2        0.02     348      1        87.6     85.10      90.20       0.872      0.800      0.86           2          720        0.02     1.63       1.01       4654.7     1732.3     2922.3     0.956     c3:16.02; c2:0.02
14  T1124TS180_2o      180     McGuffin             0.918    0.952    2        A2       C2        2        0.02     348      1        87.6     85.10      90.20       0.872      0.800      0.86           2          720        0.02     1.63       1.01       4654.7     1732.3     2922.3     0.956     c3:16.02; c2:0.02
15  T1124TS462_3o      462s    MultiFOLD            0.917    0.951    2        A2       C2        2        0.04     347      0        87.6     85.10      90.20       0.874      0.798      0.86           2          720        0.03     1.64       1.02       4425.9     1746.5     2679.3     0.956     c3:15.92; c2:0.03
16  T1124TS180_3o      180     McGuffin             0.917    0.951    2        A2       C2        2        0.04     347      0        87.6     85.10      90.20       0.874      0.798      0.86           2          720        0.03     1.64       1.02       4425.9     1746.5     2679.3     0.956     c3:15.92; c2:0.03
17  T1124TS462_4o      462s    MultiFOLD            0.917    0.951    2        A2       C2        2        0.08     355      2        88.1     85.20      91.20       0.874      0.806      0.85           2          720        0.02     1.58       1.02       4304.4     1640.8     2663.6     0.958     c3:15.97; c2:0.05
18  T1124TS180_4o      180     McGuffin             0.917    0.951    2        A2       C2        2        0.08     355      2        88.1     85.20      91.20       0.874      0.806      0.85           2          720        0.02     1.58       1.02       4304.4     1640.8     2663.6     0.958     c3:15.97; c2:0.05
19  T1124TS158_1o      158s    MULTICOM_deep        0.915    0.944    2        A2       C2        2        0.03     358      0        87.7     87.50      87.80       0.870      0.768      0.83           2          720        0.03     1.61       1.15       4617.0     1541.8     3075.2     0.962     c3:16.49; c2:0.02
20  T1124TS003_4o      003     MULTICOM_human       0.915    0.944    2        A2       C2        2        0.03     358      0        87.5     87.30      87.80       0.871      0.768      0.82           2          720        0.03     1.61       1.15       4646.7     1587.1     3059.6     0.962     c3:16.49; c2:0.02
21  T1124TS086_2o      086s    MULTICOM_qa          0.915    0.944    2        A2       C2        2        0.03     358      0        87.5     87.30      87.80       0.871      0.768      0.82           2          720        0.03     1.61       1.15       4646.7     1587.1     3059.6     0.962     c3:16.49; c2:0.02
