model,lDDToligo_True,lDDToligo_EnQA-MSA
H1166v1TS150_4,0.831,0.7578125
H1166v1TS035_3,0.817,0.77392578125
H1166v1TS248_3,0.817,0.77392578125
H1166v1TS494_2,0.822,0.748046875
H1166v1TS205_3,0.751,0.705078125
H1166v1TS188_3,0.812,0.70458984375
H1166v1TS320_5,0.827,0.78466796875
H1166v1TS390_5,0.827,0.7841796875
H1166v1TS098_4,0.827,0.7841796875
H1166v1TS360_3,0.832,0.7666015625
H1166v1TS360_5,0.825,0.77685546875
H1166v1TS360_1,0.824,0.7724609375
H1166v1TS350_5,0.801,0.70556640625
H1166v1TS291_5,0.801,0.70556640625
H1166v1TS360_2,0.824,0.76708984375
H1166v1TS086_2,0.823,0.76806640625
H1166v1TS298_1,0.825,0.78076171875
H1166v1TS367_3,0.829,0.77392578125
H1166v1TS071_2,0.809,0.73388671875
H1166v1TS360_4,0.823,0.767578125
H1166v1TS434_1,0.825,0.76416015625
H1166v1TS011_1,0.825,0.76416015625
H1166v1TS320_4,0.824,0.77880859375
H1166v1TS150_2,0.824,0.7587890625
H1166v1TS390_4,0.824,0.7783203125
H1166v1TS314_4,0.824,0.77880859375
H1166v1TS169_4,0.824,0.7783203125
H1166v1TS188_5,0.824,0.7783203125
H1166v1TS348_5,0.824,0.77880859375
H1166v1TS446_3,0.825,0.77490234375
H1166v1TS461_3,0.825,0.77490234375
H1166v1TS158_3,0.825,0.78125
H1166v1TS298_3,0.826,0.7763671875
H1166v1TS158_4,0.828,0.7841796875
H1166v1TS227_5,0.84,0.76953125
H1166v1TS133_5,0.84,0.76953125
H1166v1TS119_3,0.833,0.7763671875
H1166v1TS205_2,0.762,0.703125
H1166v1TS119_5,0.835,0.7548828125
H1166v1TS298_2,0.831,0.77783203125
H1166v1TS444_3,0.802,0.81005859375
H1166v1TS165_3,0.755,0.57470703125
H1166v1TS314_1,0.832,0.70458984375
H1166v1TS185_5,0.811,0.8359375
H1166v1TS185_1,0.829,0.84912109375
H1166v1TS185_4,0.826,0.85693359375
H1166v1TS003_4,0.824,0.77685546875
H1166v1TS158_2,0.824,0.77685546875
H1166v1TS278_4,0.719,0.70849609375
H1166v1TS374_2,0.817,0.70751953125
H1166v1TS278_5,0.708,0.7705078125
H1166v1TS073_2,0.747,0.76953125
H1166v1TS119_1,0.829,0.7275390625
H1166v1TS131_4,0.829,0.7275390625
H1166v1TS374_3,0.832,0.84912109375
H1166v1TS185_2,0.825,0.84521484375
H1166v1TS444_2,0.784,0.81201171875
H1166v1TS462_3,0.82,0.783203125
H1166v1TS073_3,0.745,0.76123046875
H1166v1TS447_2,0.782,0.705078125
H1166v1TS091_2,0.651,0.677734375
H1166v1TS447_1,0.782,0.705078125
H1166v1TS133_4,0.825,0.76904296875
H1166v1TS227_4,0.825,0.76904296875
H1166v1TS239_1,0.797,0.796875
H1166v1TS278_2,0.821,0.82373046875
H1166v1TS288_3,0.827,0.7705078125
H1166v1TS125_1,0.833,0.85400390625
H1166v1TS399_1,0.833,0.85400390625
H1166v1TS054_1,0.833,0.85400390625
H1166v1TS227_2,0.836,0.7724609375
H1166v1TS399_3,0.829,0.84423828125
H1166v1TS054_3,0.829,0.84423828125
H1166v1TS125_3,0.829,0.84423828125
H1166v1TS133_2,0.836,0.7724609375
H1166v1TS225_4,0.831,0.833984375
H1166v1TS447_4,0.784,0.697265625
H1166v1TS131_5,0.831,0.7646484375
H1166v1TS434_4,0.833,0.7578125
H1166v1TS011_4,0.833,0.7578125
H1166v1TS461_2,0.825,0.75048828125
H1166v1TS446_2,0.825,0.75048828125
H1166v1TS447_5,0.781,0.6943359375
H1166v1TS125_2,0.828,0.85888671875
H1166v1TS054_2,0.828,0.85888671875
H1166v1TS399_2,0.828,0.85888671875
H1166v1TS245_1,0.831,0.85302734375
H1166v1TS385_1,0.831,0.85302734375
H1166v1TS248_2,0.824,0.8037109375
H1166v1TS035_2,0.824,0.8037109375
H1166v1TS444_4,0.804,0.8828125
H1166v1TS037_1,0.811,0.796875
H1166v1TS131_3,0.831,0.78125
H1166v1TS288_2,0.831,0.7763671875
H1166v1TS239_2,0.798,0.783203125
H1166v1TS187_4,0.825,0.76904296875
H1166v1TS444_1,0.808,0.880859375
H1166v1TS003_3,0.826,0.78662109375
H1166v1TS367_5,0.826,0.78662109375
