model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
H1167v1TS398_2,0.844,0.794,0.14,0.822265625
H1167v1TS165_3,0.787,0.587,0.14,0.58154296875
H1167v1TS494_5,0.721,0.539,0.102,0.73291015625
H1167v1TS278_2,0.742,0.823,0.1,0.64306640625
H1167v1TS225_3,0.832,0.6,0.082,0.86962890625
H1167v1TS147_1,0.744,0.783,0.074,0.708984375
H1167v1TS225_5,0.844,0.592,0.073,0.87646484375
H1167v1TS225_1,0.841,0.61,0.069,0.8701171875
H1167v1TS225_2,0.831,0.594,0.064,0.8662109375
H1167v1TS187_5,0.84,0.67,0.06,0.8388671875
H1167v1TS462_2,0.839,0.542,0.06,0.8203125
H1167v1TS225_4,0.841,0.599,0.059,0.8896484375
H1167v1TS462_1,0.843,0.595,0.057,0.82568359375
H1167v1TS205_5,0.834,0.516,0.055,0.70703125
H1167v1TS398_4,0.838,0.794,0.054,0.82568359375
H1167v1TS185_1,0.849,0.811,0.052,0.8935546875
H1167v1TS035_4,0.864,0.839,0.049,0.85107421875
H1167v1TS248_4,0.864,0.839,0.049,0.85107421875
H1167v1TS185_3,0.85,0.813,0.049,0.89501953125
H1167v1TS185_2,0.851,0.811,0.048,0.88916015625
H1167v1TS444_4,0.835,0.8,0.036,0.83349609375
H1167v1TS447_5,0.781,0.602,0.036,0.67431640625
H1167v1TS073_1,0.776,0.791,0.034,0.80859375
H1167v1TS461_3,0.841,0.536,0.033,0.802734375
H1167v1TS446_3,0.841,0.536,0.033,0.802734375
H1167v1TS073_3,0.755,0.518,0.032,0.82666015625
H1167v1TS257_1,0.754,0.789,0.032,0.8662109375
H1167v1TS444_1,0.829,0.796,0.03,0.83447265625
H1167v1TS398_5,0.834,0.797,0.03,0.82568359375
H1167v1TS278_4,0.709,0.506,0.03,0.72998046875
H1167v1TS092_1,0.827,0.524,0.03,0.8046875
H1167v1TS288_3,0.84,0.525,0.029,0.8291015625
H1167v1TS003_5,0.835,0.521,0.029,0.83447265625
H1167v1TS227_3,0.835,0.521,0.029,0.81494140625
H1167v1TS086_3,0.835,0.521,0.029,0.83447265625
H1167v1TS158_2,0.835,0.521,0.029,0.83447265625
H1167v1TS444_5,0.815,0.61,0.029,0.9013671875
H1167v1TS367_2,0.835,0.521,0.029,0.83447265625
H1167v1TS180_4,0.832,0.529,0.029,0.83935546875
H1167v1TS444_3,0.814,0.527,0.029,0.84814453125
H1167v1TS133_3,0.835,0.521,0.029,0.81494140625
H1167v1TS348_4,0.85,0.803,0.029,0.83740234375
H1167v1TS185_4,0.846,0.762,0.028,0.8681640625
H1167v1TS180_1,0.833,0.527,0.028,0.84375
H1167v1TS494_3,0.831,0.516,0.028,0.74951171875
H1167v1TS071_5,0.821,0.523,0.028,0.76806640625
H1167v1TS227_2,0.834,0.523,0.028,0.826171875
H1167v1TS180_2,0.833,0.526,0.028,0.84619140625
H1167v1TS133_2,0.834,0.523,0.028,0.826171875
H1167v1TS037_3,0.825,0.529,0.028,0.8330078125
H1167v1TS073_5,0.763,0.607,0.027,0.818359375
H1167v1TS288_1,0.852,0.806,0.027,0.818359375
H1167v1TS071_1,0.82,0.524,0.027,0.77978515625
H1167v1TS239_1,0.82,0.807,0.027,0.83203125
